state,county,tract,intptlat,intptlon,alandsqkm,dist_to_bigcity,population15,unitstot15,natpctfor15,povpctind15,povpctfam15,racpctwhi15,tenpctown15,tenpctren15,unitpct2pl15,occpctvac15,compcttra15,compctwlk15,compctbic15,compctdrv15,medhhinc15,medhhval15,medgrossrent15,medrooms15,unemprate15,labpartrate15,population21,unitstot21,povpctind21,natpctfor21,povpctfam21,racpctwhi21,tenpctown21,tenpctren21,unitpct2pl21,occpctvac21,compcttra21,compctwlk21,compctbic21,compctdrv21,medhhinc21,medhhval21,medgrossrent21,medrooms21,unemprate21,labpartrate21
39,49,6430,40.0134762,-83.0590731,2.58242,20967.05864,4652,1934,9.995700774,2.708512468,1.167315175,87.27429063,62.68980477,37.31019523,28.12823164,4.653567735,1.113762928,4.176610979,2.108194113,85.87907717,87982,306400,959,6.3,3.706505295,72.71727173,5258,2117,3.410823171,14.41612781,3.39100346,79.00342335,61.21304791,38.78695209,26.31081719,7.321681625,0,1.126549005,0.187758167,81.78745775,125726,445400,1308,6.1,2.998236332,71.9908583
39,49,6822,40.0732599,-83.0099114,1.151568,38534.01305,2085,986,0.815347722,4.460431655,3.125,97.0263789,82.82937365,17.17062635,6.186612576,6.085192698,3.586678053,1.024765158,0.768573868,89.83774552,72404,169800,838,6,4.956035172,71.69054441,2038,1002,5.053974485,1.717369971,4.089219331,90.08832188,82.75510204,17.24489796,7.085828343,2.195608782,0.090334237,0,0,82.38482385,82885,229200,1066,6.1,1.643598616,64.61710453
39,49,7550,40.0132294,-82.9228092,6.076353,17910.75399,3110,1092,9.421221865,24.47190116,19.67213115,28.97106109,58.7270974,41.2729026,29.57875458,5.036630037,3.63062352,7.892659826,0,85.39857932,39205,110300,714,5.8,13.42501637,59.0487239,3393,1053,17.20583007,3.124078986,11.11111111,31.18184497,67.82178218,32.17821782,18.13865147,4.08357075,2.781641168,7.788595271,0,87.76077886,66912,141900,1273,5.8,7.3556231,61.86536292
39,49,8720,39.9252119,-82.9684863,2.846,12993.37717,3012,1614,14.37583001,20.39584032,12.21590909,32.40371846,51.15030675,48.84969325,27.75712515,19.20693928,8.190618019,4.09530901,0,82.94862249,35678,77100,575,4.8,8.952254642,60.10362694,3338,1882,23.24745357,7.130017975,5.85106383,24.29598562,58.71121718,41.28878282,23.48565356,10.94580234,1.468710089,0,0,88.25031928,37914,76900,805,4.9,1.811367895,55.03609488
39,49,9323,39.940726,-82.8843405,1.104206,29411.23026,3408,1569,21.71361502,31.71948357,34.36293436,18.48591549,31.39183056,68.60816944,42.06500956,15.74251115,11.66429587,1.635846373,0,84.56614509,29338,76800,750,5,12.04610951,67.72053084,3858,1655,40.90202177,11.71591498,36.72680412,14.30793157,29.6457427,70.3542573,47.37160121,2.779456193,3.918918919,0,0,83.04054054,38074,91400,892,5,6.226415094,59.63990998
39,49,110,40.0589918,-83.0127611,1.960372,32844.60068,3635,1823,3.576341128,4.401650619,2.735229759,94.63548831,80.69767442,19.30232558,3.620405924,5.650027427,1.782449726,0.914076782,0,85.37477148,75152,186500,1218,5.8,2.485574789,75.02497502,3310,1912,7.280966767,1.601208459,3.703703704,94.01812689,88.46796657,11.53203343,0.941422594,6.119246862,1.034637877,0.764732344,1.529464687,70.89518668,102219,266200,1192,5.8,1.661695782,79.61329715
39,49,210,40.0438151,-83.0050977,1.706667,27454.30054,3487,1516,5.219386292,2.867794666,0,90.73702323,74.86263736,25.13736264,22.16358839,3.957783641,1.763584366,1.286939943,3.670162059,88.13155386,83167,229400,860,6.5,1.977011494,77.81753131,3216,1646,3.264925373,4.259950249,0,87.34452736,72.33502538,27.66497462,21.32442284,4.2527339,5.014605648,2.629016553,1.265822785,68.54917235,105577,347700,934,6.2,2.255639098,75.83749109
39,49,220,40.0368621,-83.0142253,1.945308,25097.54011,3877,1720,1.676554037,2.192416817,0.767263427,95.7699252,89.69010727,10.30989273,5.174418605,2.441860465,1.155115512,1.155115512,1.113861386,88.57260726,100284,260500,942,6.7,1.288244767,79.05792489,4057,1923,1.55287158,3.993098349,0.526315789,91.76731575,90.07717751,9.922822492,10.66042642,5.668226729,1.697247706,0.871559633,3.76146789,75.87155963,122534,375200,1229,6.9,7.522311942,69.24661566
39,49,310,40.0361932,-82.9938588,1.844267,21906.69147,3211,1589,2.180006229,21.95577702,17.98063624,66.67704765,53.62106803,46.37893197,26.68344871,13.97105098,3.359328134,0,0,93.04139172,39414,86500,717,5,7.214206437,66.27436558,3097,1416,18.63093316,6.49015176,18.79194631,66.61285115,54.63601533,45.36398467,32.90960452,7.838983051,0.642260758,0,0,86.06294155,55599,120500,894,4.9,8.084358524,70.80049772
39,3,13700,40.7222688,-84.0875228,1.366862,406783.0696,1165,537,0.686695279,43.00429185,37.83783784,38.54077253,38.79781421,61.20218579,18.24953445,31.84357542,2.272727273,6.168831169,0,84.74025974,24868,38700,666,5.5,22.93144208,54.37017995,996,516,43.6746988,0.602409639,41.58415842,53.41365462,48.08184143,51.91815857,10.07751938,24.2248062,0,2.949852507,0,75.51622419,26250,33500,689,5.7,10.3286385,52.14198286
