state,county,tract,intptlat,intptlon,alandsqkm,dist_to_rail,dist_to_bigcity,population15,unitstot15,natpctfor15,povpctind15,povpctfam15,racpctwhi15,tenpctown15,tenpctren15,unitpct2pl15,occpctvac15,compcttra15,compctwlk15,compctbic15,compctdrv15,medhhinc15,medhhval15,medgrossrent15,medrooms15,unemprate15,labpartrate15,population21,unitstot21,povpctind21,natpctfor21,povpctfam21,racpctwhi21,tenpctown21,tenpctren21,unitpct2pl21,occpctvac21,compcttra21,compctwlk21,compctbic21,compctdrv21,medhhinc21,medhhval21,medgrossrent21,medrooms21,unemprate21,labpartrate21,density_population15,density_population21,density_unitstot15,density_unitstot21,change_population,change_unit,change_medhhinc,change_medhhval,change_medgrossrent,tracts_shrank_population,tracts_grew_population,added_100_units,lost_100_units
34,7,609103,39.7568322,-74.9118985,21.27183,2841.473919,86224.48866,5328,2014,6.024774775,6.150907354,3.568716781,66.4039039,84.58942632,15.41057368,8.291956306,11.71797418,2.607232969,0.883095038,0.63078217,91.67367536,64385,179100,1434,6.6,11.20530778,67.10363591,5461,2214,4.303468744,5.438564366,2.38410596,62.86394433,68.96877956,31.03122044,24.16440831,4.516711834,3.636363636,0.240137221,0.0,94.99142367,67123,220000,1231,5.9,3.342070773,66.82723889,250.47210324640614,256.7245037215886,94.67920719561974,104.08131317333769,133,200,2738,40900,-203,0,1,1,0
34,7,609201,39.7229943,-74.992189,4.539268,30159.78698,90617.99807,4360,1916,4.587155963,9.727356747,7.388663968,55.36697248,70.64905227,29.35094773,28.65344468,9.133611691,4.353741497,0.0,0.0,91.79138322,59612,163800,892,5.7,11.18684844,72.81751825,5178,2077,17.9373065,7.454615682,15.11864407,60.50598687,71.57057654,28.42942346,23.59171883,3.129513722,3.939886271,0.771730301,0.0,86.10885459,83542,172400,968,6.6,8.956760467,73.4560121,960.5072888404034,1140.712555416424,422.09448748124146,457.5627612205316,818,161,23930,8600,76,0,1,1,0
34,29,731202,39.9639999,-74.2762549,4.749413,68765.03607,240513.243,4234,3160,8.809636278,8.313651393,3.504043127,98.41757204,92.25528863,7.744711366,0.0,11.74050633,0.0,0.0,0.0,95.14884234,31490,131800,1127,5.1,14.27221172,24.98819084,4175,3205,10.17964072,15.04191617,5.790838375,93.26946108,83.06364617,16.93635383,0.936037441,13.22932917,1.059322034,0.0,0.0,86.97033898,36502,172700,1423,5.3,12.99539171,25.98802395,891.4785890382665,879.0560012363634,665.345380576505,674.8202356796514,-59,45,5012,40900,296,1,0,0,0
34,29,715301,40.1059406,-74.2098301,1.850054,42091.42881,231276.1012,9523,2039,17.85151738,29.64518625,29.07961604,90.86422346,26.70652715,73.29347285,33.15350662,1.569396763,2.284178703,10.17803158,0.671817266,72.05240175,40522,281500,1311,5.1,5.14390692,59.7621226,9220,1949,32.77084036,10.2494577,25.44416244,94.20824295,30.24553571,69.75446429,23.6018471,8.055413032,9.550338241,6.287306009,0.0,76.68125746,46648,426900,1688,5.4,7.692307692,57.48031496,5147.417318629618,4983.638315422144,1102.1299918813181,1053.4827632058307,-303,-90,6126,145400,377,1,0,0,0
34,29,723500,39.9447108,-74.1217846,1.623291,50240.35739,284938.9042,2258,1413,8.635961027,11.7360496,10.12216405,88.4853853,66.45962733,33.54037267,3.113941967,31.63481953,0.665557404,0.0,1.081530782,91.34775374,58478,228500,1461,5.1,4.905660377,73.52941176,2640,1465,15.29950401,8.712121212,10.27104137,82.68939394,83.72093023,16.27906977,1.365187713,20.75085324,2.012383901,0.696594427,2.089783282,91.02167183,70875,261500,1635,5.6,4.76889215,63.18961521,1391.0013669760997,1626.3257789268837,870.4539112210934,902.4876008060169,382,52,12397,33000,174,0,1,0,0
34,29,723600,39.9476209,-74.1607501,2.094642,54464.81575,270449.4804,2396,1013,3.631051753,8.748430306,3.927986907,96.86978297,80.24282561,19.75717439,11.15498519,10.56268509,0.0,0.0,1.549053356,95.43889845,82250,294000,1517,6.1,10.12084592,69.17450366,2666,1348,16.42910728,2.363090773,5.748865356,94.8612153,83.90804598,16.09195402,8.679525223,9.643916914,2.301587302,0.952380952,0.0,92.77777778,78611,387600,1135,6.1,2.362804878,58.36298932,1143.8708858124683,1272.7711943138734,483.6148611552714,643.5467254070147,270,335,-3639,93600,-382,0,1,1,0
34,29,724000,39.9391322,-74.2070239,2.997902,61799.58568,262935.5824,3706,1139,5.909336212,13.70792617,11.60493827,61.60280626,80.55813953,19.44186047,2.019315189,5.618964004,1.785714286,1.466836735,0.892857143,92.09183673,66250,193300,1610,5.8,12.24601867,66.7277391,3641,1122,12.0021972,10.73880802,10.20856202,58.58280692,73.82739212,26.17260788,1.515151515,4.991087344,0.0,0.41716329,1.609058403,94.51728248,87924,210600,1971,5.9,7.921866522,67.85714286,1236.1978476948213,1214.5160182020627,379.9323660346469,374.2617337057716,-65,-17,21674,17300,361,1,0,0,0
34,29,725001,39.9271162,-74.2095392,3.785681,63944.54547,263321.1483,3019,1087,4.140443856,9.172482552,7.701863354,92.0503478,86.75171737,13.24828263,2.483900644,6.25574977,1.31661442,1.880877743,0.0,92.72727273,77159,233700,1613,6.1,8.4222347,74.61248429,3120,1232,6.057692308,3.333333333,3.091557669,93.26923077,89.32633421,10.67366579,2.516233766,7.224025974,0.0,0.0,1.975780752,86.67941364,84818,236100,1380,6.2,3.13876652,67.5343994,797.4787099071475,824.1581897682346,287.13460008912534,325.4368236520721,101,145,7659,2400,-233,0,1,1,0
34,29,725002,39.9246631,-74.1978239,2.284016,65009.19187,268416.4614,6121,2051,4.99918314,10.14066078,8.780160858,95.11517726,86.86462003,13.13537997,0.926377377,3.120429059,1.01141925,0.685154976,0.293637847,94.32300163,69981,250000,1521,6.5,6.837098692,70.12716281,5665,2096,3.918799647,10.23830538,1.867353509,82.94792586,93.1237721,6.876227898,0.0,2.86259542,1.051917204,0.373260943,0.0,96.47098744,87907,249300,1994,6.4,4.100652377,70.85626238,2679.928687014452,2480.280348298786,897.9796989162949,917.6818376053409,-456,45,17926,-700,473,1,0,0,0
34,5,700200,40.0119401,-75.0147395,1.714007,0.0,43903.61706,2766,1069,3.796095445,4.90820532,2.853437095,94.57700651,79.63320463,20.36679537,17.58652947,3.086997194,6.856403622,1.940491591,0.0,84.47606727,92125,283800,1071,7.1,5.691554468,72.07763564,2761,1066,2.699662542,2.825063383,1.593625498,87.64940239,79.92007992,20.07992008,17.82363977,6.097560976,5.38147139,0.68119891,0.544959128,76.4986376,113239,312800,1381,7.2,3.32247557,69.93166287,1613.7623708654633,1610.845229920298,623.6847340763486,621.9344495092494,-5,-3,21114,29000,310,1,0,0,0
